Comunidad autónoma;Divisiones COICOP;Año;Total
Andalucía;10. Servicios para la educación;2022 (P);1.474.268
Andalucía;11. Restaurantes y servicios de alojamiento;2016;15.701.106
Andalucía;11. Restaurantes y servicios de alojamiento;2017;17.406.257
Andalucía;11. Restaurantes y servicios de alojamiento;2018;17.860.176
Andalucía;11. Restaurantes y servicios de alojamiento;2019;18.381.912
Andalucía;11. Restaurantes y servicios de alojamiento;2020;9.951.007
Andalucía;11. Restaurantes y servicios de alojamiento;2021;15.199.616
Andalucía;11. Restaurantes y servicios de alojamiento;2022 (P);21.513.044
Andalucía;12. Seguros y servicios financieros;2016;3.813.825
Andalucía;12. Seguros y servicios financieros;2017;3.993.157
Andalucía;12. Seguros y servicios financieros;2018;4.451.865
Andalucía;12. Seguros y servicios financieros;2019;4.636.558
Andalucía;12. Seguros y servicios financieros;2020;4.720.258
Andalucía;12. Seguros y servicios financieros;2021;4.579.475
Andalucía;12. Seguros y servicios financieros;2022 (P);5.729.256
Andalucía;13. Cuidados personales, protección social y bienes y servicios varios;2016;5.701.828
Andalucía;13. Cuidados personales, protección social y bienes y servicios varios;2017;5.987.702
Andalucía;13. Cuidados personales, protección social y bienes y servicios varios;2018;6.072.421
Andalucía;13. Cuidados personales, protección social y bienes y servicios varios;2019;6.160.058
Andalucía;13. Cuidados personales, protección social y bienes y servicios varios;2020;4.996.258
Andalucía;13. Cuidados personales, protección social y bienes y servicios varios;2021;5.582.732
Andalucía;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);6.374.813
Andalucía;Total gasto en consumo final de los hogares interior;2016;108.326.106
Andalucía;Total gasto en consumo final de los hogares interior;2017;114.370.795
Andalucía;Total gasto en consumo final de los hogares interior;2018;118.106.596
Andalucía;Total gasto en consumo final de los hogares interior;2019;120.047.397
Andalucía;Total gasto en consumo final de los hogares interior;2020;100.684.113
Andalucía;Total gasto en consumo final de los hogares interior;2021;113.145.483
Andalucía;Total gasto en consumo final de los hogares interior;2022 (P);130.642.972
Andalucía;P.3. Gasto en consumo final de los hogares;2016;99.054.753
Andalucía;P.3. Gasto en consumo final de los hogares;2017;103.908.830
Andalucía;P.3. Gasto en consumo final de los hogares;2018;107.674.262
Andalucía;P.3. Gasto en consumo final de los hogares;2019;109.480.737
Andalucía;P.3. Gasto en consumo final de los hogares;2020;97.382.799
Andalucía;P.3. Gasto en consumo final de los hogares;2021;107.537.124
Andalucía;P.3. Gasto en consumo final de los hogares;2022 (P);120.508.393
Andalucía;P.4. Consumo final efectivo de los hogares;2016;121.745.945
Andalucía;P.4. Consumo final efectivo de los hogares;2017;127.034.345
Andalucía;P.4. Consumo final efectivo de los hogares;2018;131.540.104
Andalucía;P.4. Consumo final efectivo de los hogares;2019;134.524.689
Andalucía;P.4. Consumo final efectivo de los hogares;2020;123.763.381
Andalucía;P.4. Consumo final efectivo de los hogares;2021;136.039.186
Andalucía;P.4. Consumo final efectivo de los hogares;2022 (P);150.611.725
Aragón;01. Alimentos y bebidas no alcohólicas;2016;2.549.335
Aragón;01. Alimentos y bebidas no alcohólicas;2017;2.555.001
Aragón;01. Alimentos y bebidas no alcohólicas;2018;2.670.150
Aragón;01. Alimentos y bebidas no alcohólicas;2019;2.729.385
Aragón;01. Alimentos y bebidas no alcohólicas;2020;2.970.567
Aragón;01. Alimentos y bebidas no alcohólicas;2021;2.913.531
Aragón;01. Alimentos y bebidas no alcohólicas;2022 (P);3.094.945
Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2016;745.733
Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2017;755.845
Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2018;759.803
Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2019;779.123
Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2020;815.674
Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2021;802.878
Aragón;02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);831.588
Aragón;03. Artículos de vestir y calzado;2016;797.027
Aragón;03. Artículos de vestir y calzado;2017;782.471
Aragón;03. Artículos de vestir y calzado;2018;740.551
Aragón;03. Artículos de vestir y calzado;2019;734.217
Aragón;03. Artículos de vestir y calzado;2020;537.030
Aragón;03. Artículos de vestir y calzado;2021;629.243
Aragón;03. Artículos de vestir y calzado;2022 (P);681.562
Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;4.135.751
Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;4.208.050
Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;4.322.090
Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;4.407.078
Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;4.373.564
Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2021;4.574.784
Aragón;04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);4.807.853
Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;843.657
Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;861.776
Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;869.079
Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;852.931
Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;796.026
Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;920.088
Aragón;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);947.890
Aragón;06. Salud;2016;857.510
Aragón;06. Salud;2017;873.184
Aragón;06. Salud;2018;914.933
Aragón;06. Salud;2019;936.743
Aragón;06. Salud;2020;904.403
Aragón;06. Salud;2021;950.035
Aragón;06. Salud;2022 (P);989.078
Aragón;07. Transporte;2016;2.083.796
Aragón;07. Transporte;2017;2.255.100
Aragón;07. Transporte;2018;2.355.508
Aragón;07. Transporte;2019;2.321.792
Aragón;07. Transporte;2020;1.712.917
Aragón;07. Transporte;2021;2.037.624
Aragón;07. Transporte;2022 (P);2.388.512
Aragón;08. Información y comunicación;2016;586.666
Aragón;08. Información y comunicación;2017;605.728
Aragón;08. Información y comunicación;2018;633.053
Aragón;08. Información y comunicación;2019;626.801
Aragón;08. Información y comunicación;2020;630.186
Aragón;08. Información y comunicación;2021;663.797
Aragón;08. Información y comunicación;2022 (P);701.727
Aragón;09. Ocio, deporte y cultura;2016;1.112.635
Aragón;09. Ocio, deporte y cultura;2017;1.152.268
Aragón;09. Ocio, deporte y cultura;2018;1.215.337
Aragón;09. Ocio, deporte y cultura;2019;1.264.330
Aragón;09. Ocio, deporte y cultura;2020;808.768
Aragón;09. Ocio, deporte y cultura;2021;1.061.069
Aragón;09. Ocio, deporte y cultura;2022 (P);1.450.346
Aragón;10. Servicios para la educación;2016;262.627
Aragón;10. Servicios para la educación;2017;266.130
Aragón;10. Servicios para la educación;2018;268.490
Aragón;10. Servicios para la educación;2019;271.864
Aragón;10. Servicios para la educación;2020;263.441
Aragón;10. Servicios para la educación;2021;236.483
Aragón;10. Servicios para la educación;2022 (P);241.480
Aragón;11. Restaurantes y servicios de alojamiento;2016;2.592.068
Aragón;11. Restaurantes y servicios de alojamiento;2017;2.683.360
Aragón;11. Restaurantes y servicios de alojamiento;2018;2.718.277
Aragón;11. Restaurantes y servicios de alojamiento;2019;2.865.755
Aragón;11. Restaurantes y servicios de alojamiento;2020;1.707.947
Aragón;11. Restaurantes y servicios de alojamiento;2021;2.179.672
Aragón;11. Restaurantes y servicios de alojamiento;2022 (P);2.974.002
Aragón;12. Seguros y servicios financieros;2016;883.346
Aragón;12. Seguros y servicios financieros;2017;908.759
Aragón;12. Seguros y servicios financieros;2018;952.989
Aragón;12. Seguros y servicios financieros;2019;946.877
Aragón;12. Seguros y servicios financieros;2020;1.002.443
Aragón;12. Seguros y servicios financieros;2021;921.424
Aragón;12. Seguros y servicios financieros;2022 (P);1.122.815
Aragón;13. Cuidados personales, protección social y bienes y servicios varios;2016;1.123.316
Aragón;13. Cuidados personales, protección social y bienes y servicios varios;2017;1.166.731
Aragón;13. Cuidados personales, protección social y bienes y servicios varios;2018;1.199.686
Aragón;13. Cuidados personales, protección social y bienes y servicios varios;2019;1.215.066
Aragón;13. Cuidados personales, protección social y bienes y servicios varios;2020;1.039.574
Aragón;13. Cuidados personales, protección social y bienes y servicios varios;2021;1.117.259
Aragón;13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);1.257.561
Aragón;Total gasto en consumo final de los hogares interior;2016;18.573.467
Aragón;Total gasto en consumo final de los hogares interior;2017;19.074.403
Aragón;Total gasto en consumo final de los hogares interior;2018;19.619.946
Aragón;Total gasto en consumo final de los hogares interior;2019;19.951.962
Aragón;Total gasto en consumo final de los hogares interior;2020;17.562.540
Aragón;Total gasto en consumo final de los hogares interior;2021;19.007.887
Aragón;Total gasto en consumo final de los hogares interior;2022 (P);21.489.359
Aragón;P.3. Gasto en consumo final de los hogares;2016;18.217.435
Aragón;P.3. Gasto en consumo final de los hogares;2017;18.834.349
Aragón;P.3. Gasto en consumo final de los hogares;2018;19.387.798
Aragón;P.3. Gasto en consumo final de los hogares;2019;19.951.973
Aragón;P.3. Gasto en consumo final de los hogares;2020;17.404.052
Aragón;P.3. Gasto en consumo final de los hogares;2021;18.917.406
Aragón;P.3. Gasto en consumo final de los hogares;2022 (P);21.177.033
Aragón;P.4. Consumo final efectivo de los hogares;2016;22.321.348
Aragón;P.4. Consumo final efectivo de los hogares;2017;23.056.124
Aragón;P.4. Consumo final efectivo de los hogares;2018;23.732.812
Aragón;P.4. Consumo final efectivo de los hogares;2019;24.515.452
Aragón;P.4. Consumo final efectivo de los hogares;2020;22.166.209
Aragón;P.4. Consumo final efectivo de los hogares;2021;23.903.666
Aragón;P.4. Consumo final efectivo de los hogares;2022 (P);26.406.990
Asturias (Principado de);01. Alimentos y bebidas no alcohólicas;2016;2.001.032
Asturias (Principado de);01. Alimentos y bebidas no alcohólicas;2017;2.013.128
Asturias (Principado de);01. Alimentos y bebidas no alcohólicas;2018;2.097.451
Asturias (Principado de);01. Alimentos y bebidas no alcohólicas;2019;2.134.605
Asturias (Principado de);01. Alimentos y bebidas no alcohólicas;2020;2.299.070
Asturias (Principado de);01. Alimentos y bebidas no alcohólicas;2021;2.267.525
Asturias (Principado de);01. Alimentos y bebidas no alcohólicas;2022 (P);2.378.788
Asturias (Principado de);02. Bebidas alcohólicas, tabaco y narcóticos;2016;703.518
Asturias (Principado de);02. Bebidas alcohólicas, tabaco y narcóticos;2017;679.934
Asturias (Principado de);02. Bebidas alcohólicas, tabaco y narcóticos;2018;672.223
Asturias (Principado de);02. Bebidas alcohólicas, tabaco y narcóticos;2019;661.120
Asturias (Principado de);02. Bebidas alcohólicas, tabaco y narcóticos;2020;732.560
Asturias (Principado de);02. Bebidas alcohólicas, tabaco y narcóticos;2021;728.398
Asturias (Principado de);02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);743.006
Asturias (Principado de);03. Artículos de vestir y calzado;2016;687.797
Asturias (Principado de);03. Artículos de vestir y calzado;2017;676.925
Asturias (Principado de);03. Artículos de vestir y calzado;2018;645.718
Asturias (Principado de);03. Artículos de vestir y calzado;2019;647.492
Asturias (Principado de);03. Artículos de vestir y calzado;2020;443.925
Asturias (Principado de);03. Artículos de vestir y calzado;2021;530.359
Asturias (Principado de);03. Artículos de vestir y calzado;2022 (P);579.747
Asturias (Principado de);04. Vivienda, agua, electricidad, gas y otros combustibles;2016;3.684.994
Asturias (Principado de);04. Vivienda, agua, electricidad, gas y otros combustibles;2017;3.778.190
Asturias (Principado de);04. Vivienda, agua, electricidad, gas y otros combustibles;2018;3.833.343
Asturias (Principado de);04. Vivienda, agua, electricidad, gas y otros combustibles;2019;3.872.765
Asturias (Principado de);04. Vivienda, agua, electricidad, gas y otros combustibles;2020;3.770.464
Asturias (Principado de);04. Vivienda, agua, electricidad, gas y otros combustibles;2021;3.942.229
Asturias (Principado de);04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);4.131.098
Asturias (Principado de);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;648.432
Asturias (Principado de);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;666.002
Asturias (Principado de);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;656.041
Asturias (Principado de);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;640.538
Asturias (Principado de);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;580.504
Asturias (Principado de);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;672.108
Asturias (Principado de);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);683.168
Asturias (Principado de);06. Salud;2016;689.883
Asturias (Principado de);06. Salud;2017;692.210
Asturias (Principado de);06. Salud;2018;707.822
Asturias (Principado de);06. Salud;2019;731.409
Asturias (Principado de);06. Salud;2020;702.911
Asturias (Principado de);06. Salud;2021;717.642
Asturias (Principado de);06. Salud;2022 (P);774.009
Asturias (Principado de);07. Transporte;2016;1.711.015
Asturias (Principado de);07. Transporte;2017;1.843.229
Asturias (Principado de);07. Transporte;2018;1.889.947
Asturias (Principado de);07. Transporte;2019;1.815.248
Asturias (Principado de);07. Transporte;2020;1.327.358
Asturias (Principado de);07. Transporte;2021;1.586.797
Asturias (Principado de);07. Transporte;2022 (P);1.868.511
Asturias (Principado de);08. Información y comunicación;2016;508.567
Asturias (Principado de);08. Información y comunicación;2017;519.878
Asturias (Principado de);08. Información y comunicación;2018;527.139
Asturias (Principado de);08. Información y comunicación;2019;509.043
Asturias (Principado de);08. Información y comunicación;2020;500.246
Asturias (Principado de);08. Información y comunicación;2021;523.810
Asturias (Principado de);08. Información y comunicación;2022 (P);538.821
Asturias (Principado de);09. Ocio, deporte y cultura;2016;970.737
Asturias (Principado de);09. Ocio, deporte y cultura;2017;980.874
Asturias (Principado de);09. Ocio, deporte y cultura;2018;971.964
Asturias (Principado de);09. Ocio, deporte y cultura;2019;973.038
Asturias (Principado de);09. Ocio, deporte y cultura;2020;597.160
Asturias (Principado de);09. Ocio, deporte y cultura;2021;755.245
Asturias (Principado de);09. Ocio, deporte y cultura;2022 (P);1.016.876
Asturias (Principado de);10. Servicios para la educación;2016;163.497
Asturias (Principado de);10. Servicios para la educación;2017;165.277
Asturias (Principado de);10. Servicios para la educación;2018;164.826
Asturias (Principado de);10. Servicios para la educación;2019;163.809
Asturias (Principado de);10. Servicios para la educación;2020;154.609
Asturias (Principado de);10. Servicios para la educación;2021;136.426
Asturias (Principado de);10. Servicios para la educación;2022 (P);137.669
Asturias (Principado de);11. Restaurantes y servicios de alojamiento;2016;1.946.229
Asturias (Principado de);11. Restaurantes y servicios de alojamiento;2017;2.091.371
Asturias (Principado de);11. Restaurantes y servicios de alojamiento;2018;2.107.173
Asturias (Principado de);11. Restaurantes y servicios de alojamiento;2019;2.232.023
Asturias (Principado de);11. Restaurantes y servicios de alojamiento;2020;1.265.882
Asturias (Principado de);11. Restaurantes y servicios de alojamiento;2021;1.711.480
Asturias (Principado de);11. Restaurantes y servicios de alojamiento;2022 (P);2.374.140
Asturias (Principado de);12. Seguros y servicios financieros;2016;475.121
Asturias (Principado de);12. Seguros y servicios financieros;2017;490.926
Asturias (Principado de);12. Seguros y servicios financieros;2018;519.909
Asturias (Principado de);12. Seguros y servicios financieros;2019;518.967
Asturias (Principado de);12. Seguros y servicios financieros;2020;522.923
Asturias (Principado de);12. Seguros y servicios financieros;2021;512.629
Asturias (Principado de);12. Seguros y servicios financieros;2022 (P);616.984
Asturias (Principado de);13. Cuidados personales, protección social y bienes y servicios varios;2016;750.486
Asturias (Principado de);13. Cuidados personales, protección social y bienes y servicios varios;2017;783.785
Asturias (Principado de);13. Cuidados personales, protección social y bienes y servicios varios;2018;780.662
Asturias (Principado de);13. Cuidados personales, protección social y bienes y servicios varios;2019;776.312
Asturias (Principado de);13. Cuidados personales, protección social y bienes y servicios varios;2020;679.595
Asturias (Principado de);13. Cuidados personales, protección social y bienes y servicios varios;2021;777.605
Asturias (Principado de);13. Cuidados personales, protección social y bienes y servicios varios;2022 (P);903.842
Asturias (Principado de);Total gasto en consumo final de los hogares interior;2016;14.941.308
Asturias (Principado de);Total gasto en consumo final de los hogares interior;2017;15.381.729
Asturias (Principado de);Total gasto en consumo final de los hogares interior;2018;15.574.218
Asturias (Principado de);Total gasto en consumo final de los hogares interior;2019;15.676.369
Asturias (Principado de);Total gasto en consumo final de los hogares interior;2020;13.577.207
Asturias (Principado de);Total gasto en consumo final de los hogares interior;2021;14.862.253
Asturias (Principado de);Total gasto en consumo final de los hogares interior;2022 (P);16.746.659
Asturias (Principado de);P.3. Gasto en consumo final de los hogares;2016;14.781.431
Asturias (Principado de);P.3. Gasto en consumo final de los hogares;2017;15.256.919
Asturias (Principado de);P.3. Gasto en consumo final de los hogares;2018;15.548.004
Asturias (Principado de);P.3. Gasto en consumo final de los hogares;2019;15.394.027
Asturias (Principado de);P.3. Gasto en consumo final de los hogares;2020;13.402.465
Asturias (Principado de);P.3. Gasto en consumo final de los hogares;2021;14.528.063
Asturias (Principado de);P.3. Gasto en consumo final de los hogares;2022 (P);16.206.760
Asturias (Principado de);P.4. Consumo final efectivo de los hogares;2016;17.970.855
Asturias (Principado de);P.4. Consumo final efectivo de los hogares;2017;18.510.120
Asturias (Principado de);P.4. Consumo final efectivo de los hogares;2018;18.866.054
Asturias (Principado de);P.4. Consumo final efectivo de los hogares;2019;18.839.182
Asturias (Principado de);P.4. Consumo final efectivo de los hogares;2020;17.024.177
Asturias (Principado de);P.4. Consumo final efectivo de los hogares;2021;18.293.617
Asturias (Principado de);P.4. Consumo final efectivo de los hogares;2022 (P);20.168.125
Balears (Illes);01. Alimentos y bebidas no alcohólicas;2016;2.355.369
Balears (Illes);01. Alimentos y bebidas no alcohólicas;2017;2.476.624
Balears (Illes);01. Alimentos y bebidas no alcohólicas;2018;2.537.642
Balears (Illes);01. Alimentos y bebidas no alcohólicas;2019;2.629.637
Balears (Illes);01. Alimentos y bebidas no alcohólicas;2020;2.570.821
Balears (Illes);01. Alimentos y bebidas no alcohólicas;2021;2.664.310
Balears (Illes);01. Alimentos y bebidas no alcohólicas;2022 (P);2.954.445
Balears (Illes);02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.036.888
Balears (Illes);02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.036.561
Balears (Illes);02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.037.243
Balears (Illes);02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.031.738
Balears (Illes);02. Bebidas alcohólicas, tabaco y narcóticos;2020;847.204
Balears (Illes);02. Bebidas alcohólicas, tabaco y narcóticos;2021;899.177
Balears (Illes);02. Bebidas alcohólicas, tabaco y narcóticos;2022 (P);1.036.366
Balears (Illes);03. Artículos de vestir y calzado;2016;1.123.541
Balears (Illes);03. Artículos de vestir y calzado;2017;1.198.711
Balears (Illes);03. Artículos de vestir y calzado;2018;1.212.601
Balears (Illes);03. Artículos de vestir y calzado;2019;1.229.317
Balears (Illes);03. Artículos de vestir y calzado;2020;554.144
Balears (Illes);03. Artículos de vestir y calzado;2021;814.305
Balears (Illes);03. Artículos de vestir y calzado;2022 (P);1.191.063
Balears (Illes);04. Vivienda, agua, electricidad, gas y otros combustibles;2016;5.130.814
Balears (Illes);04. Vivienda, agua, electricidad, gas y otros combustibles;2017;5.307.761
Balears (Illes);04. Vivienda, agua, electricidad, gas y otros combustibles;2018;5.488.360
Balears (Illes);04. Vivienda, agua, electricidad, gas y otros combustibles;2019;5.654.337
Balears (Illes);04. Vivienda, agua, electricidad, gas y otros combustibles;2020;5.488.553
Balears (Illes);04. Vivienda, agua, electricidad, gas y otros combustibles;2021;5.827.432
Balears (Illes);04. Vivienda, agua, electricidad, gas y otros combustibles;2022 (P);6.159.544
Balears (Illes);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.041.433
Balears (Illes);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.128.362
Balears (Illes);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.085.659
Balears (Illes);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.068.665
Balears (Illes);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;779.276
Balears (Illes);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2021;1.003.358
Balears (Illes);05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2022 (P);1.148.002
Balears (Illes);06. Salud;2016;785.287
Balears (Illes);06. Salud;2017;837.119
Balears (Illes);06. Salud;2018;888.659
Balears (Illes);06. Salud;2019;763.033
Balears (Illes);06. Salud;2020;713.754
Balears (Illes);06. Salud;2021;783.097
Balears (Illes);06. Salud;2022 (P);830.739
Balears (Illes);07. Transporte;2016;3.253.059
Balears (Illes);07. Transporte;2017;3.649.501
Balears (Illes);07. Transporte;2018;3.817.663
Balears (Illes);07. Transporte;2019;3.786.554
Balears (Illes);07. Transporte;2020;2.002.924
Balears (Illes);07. Transporte;2021;2.796.607
Balears (Illes);07. Transporte;2022 (P);3.908.115
Balears (Illes);08. Información y comunicación;2016;713.550
Balears (Illes);08. Información y comunicación;2017;749.532
Balears (Illes);08. Información y comunicación;2018;759.981
Balears (Illes);08. Información y comunicación;2019;762.253
Balears (Illes);08. Información y comunicación;2020;656.295
Balears (Illes);08. Información y comunicación;2021;745.404
Balears (Illes);08. Información y comunicación;2022 (P);848.859
Balears (Illes);09. Ocio, deporte y cultura;2016;1.877.742
Balears (Illes);09. Ocio, deporte y cultura;2017;2.033.573
Balears (Illes);09. Ocio, deporte y cultura;2018;2.051.830
Balears (Illes);09. Ocio, deporte y cultura;2019;2.168.352
Balears (Illes);09. Ocio, deporte y cultura;2020;950.774
Balears (Illes);09. Ocio, deporte y cultura;2021;1.425.212
Balears (Illes);09. Ocio, deporte y cultura;2022 (P);2.123.298
Balears (Illes);10. Servicios para la educación;2016;195.408
Balears (Illes);10. Servicios para la educación;2017;201.931
Balears (Illes);10. Servicios para la educación;2018;207.487
Balears (Illes);10. Servicios para la educación;2019;213.354
Balears (Illes);10. Servicios para la educación;2020;206.376
Balears (Illes);10. Servicios para la educación;2021;187.079
Balears (Illes);10. Servicios para la educación;2022 (P);192.450
Balears (Illes);11. Restaurantes y servicios de alojamiento;2016;5.919.251
Balears (Illes);11. Restaurantes y servicios de alojamiento;2017;6.563.238
Balears (Illes);11. Restaurantes y servicios de alojamiento;2018;6.629.237
Balears (Illes);11. Restaurantes y servicios de alojamiento;2019;6.824.364
Balears (Illes);11. Restaurantes y servicios de alojamiento;2020;2.214.470
Balears (Illes);11. Restaurantes y servicios de alojamiento;2021;4.381.644
Balears (Illes);11. Restaurantes y servicios de alojamiento;2022 (P);7.253.186
Balears (Illes);12. Seguros y servicios financieros;2016;869.184
